activity_comment,activity_id,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,document_year,molecule_chembl_id,parent_molecule_chembl_id,pchembl_value,potential_duplicate,published_relation,published_type,published_units,published_value,qudt_units,record_id,src_id,standard_flag,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,uo_units
,83910,CHEMBL822705,Inhibition of calmodulin dependent cAMP phosphodiesterase.,B,BAO_0000190,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1125494,J. Med. Chem.,1992,CHEMBL489,CHEMBL489,4.72,False,=,IC50,uM,19,http://www.openphacts.org/units/Nanomolar,171506,1,True,=,IC50,nM,19000,CHEMBL612545,,Unchecked,,UO_0000065
,115156,CHEMBL792012,Uterotrophic effect in rats at 50 ug/animal/day hydroxytamoxifen,F,,BAO_0000019,assay format,CC\C(=C(\c1ccccc1)/c2ccc(OCCN(C)C)cc2)\c3ccc(O)cc3,,CHEMBL1122129,J. Med. Chem.,1982,CHEMBL10147,CHEMBL10147,,False,=,Uterotropic effect,,11,,6573,1,False,=,Uterotropic effect,,11,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,
,115157,CHEMBL774794,Anti-uterotrophic effect in rats at 50 ug/animal/day in the presence of 0.5 ug estradiol benzoate,F,,BAO_0000019,assay format,CC\C(=C(\c1ccccc1)/c2ccc(OCCN(C)C)cc2)\c3ccc(O)cc3,,CHEMBL1122129,J. Med. Chem.,1982,CHEMBL10147,CHEMBL10147,,False,=,Antiuterotropic effect,,15.7,,6573,1,False,=,Antiuterotropic effect,,15.7,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,
,115158,CHEMBL677818,Percent inhibition of [3H]estradiol binding to cytoplasmic estrogen receptor of rat uterus,B,BAO_0000201,BAO_0000224,protein format,CC\C(=C(\c1ccccc1)/c2ccc(OCCN(C)C)cc2)\c3ccc(O)cc3,,CHEMBL1122129,J. Med. Chem.,1982,CHEMBL10147,CHEMBL10147,,False,=,Inhibition,%,34.3,http://qudt.org/vocab/unit#Percent,6573,1,True,=,Inhibition,%,34.3,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,UO_0000187
,127860,CHEMBL792012,Uterotrophic effect in rats at 50 ug/animal/day hydroxytamoxifen,F,,BAO_0000019,assay format,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccc(O)cc3,,CHEMBL1122129,J. Med. Chem.,1982,CHEMBL10041,CHEMBL10041,,False,=,Uterotropic effect,,12,,6570,1,False,=,Uterotropic effect,,12,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,
,127861,CHEMBL774794,Anti-uterotrophic effect in rats at 50 ug/animal/day in the presence of 0.5 ug estradiol benzoate,F,,BAO_0000019,assay format,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccc(O)cc3,,CHEMBL1122129,J. Med. Chem.,1982,CHEMBL10041,CHEMBL10041,,False,=,Antiuterotropic effect,,16.5,,6570,1,False,=,Antiuterotropic effect,,16.5,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,
,127862,CHEMBL677818,Percent inhibition of [3H]estradiol binding to cytoplasmic estrogen receptor of rat uterus,B,BAO_0000201,BAO_0000224,protein format,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccc(O)cc3,,CHEMBL1122129,J. Med. Chem.,1982,CHEMBL10041,CHEMBL10041,,False,=,Inhibition,%,29.7,http://qudt.org/vocab/unit#Percent,6570,1,True,=,Inhibition,%,29.7,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,UO_0000187
,140093,CHEMBL792012,Uterotrophic effect in rats at 50 ug/animal/day hydroxytamoxifen,F,,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1122129,J. Med. Chem.,1982,CHEMBL489,CHEMBL489,,False,=,Uterotropic effect,,11.8,,6574,1,False,=,Uterotropic effect,,11.8,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,
,140094,CHEMBL774794,Anti-uterotrophic effect in rats at 50 ug/animal/day in the presence of 0.5 ug estradiol benzoate,F,,BAO_0000019,assay format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1122129,J. Med. Chem.,1982,CHEMBL489,CHEMBL489,,False,=,Antiuterotropic effect,,15.2,,6574,1,False,=,Antiuterotropic effect,,15.2,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,
,140095,CHEMBL677818,Percent inhibition of [3H]estradiol binding to cytoplasmic estrogen receptor of rat uterus,B,BAO_0000201,BAO_0000224,protein format,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,,CHEMBL1122129,J. Med. Chem.,1982,CHEMBL489,CHEMBL489,,False,=,Inhibition,%,37.2,http://qudt.org/vocab/unit#Percent,6574,1,True,=,Inhibition,%,37.2,CHEMBL2094114,Rattus norvegicus,Estrogen receptor,10116,UO_0000187
